ap1,ap2,ap3,ap4,ap5,long,lat
-64.0,-66.0,-68.0,-73.0,-61.0,9.651293117399913,49.37373316977058
-63.0,-63.0,-64.0,-93.0,-52.0,15.043373040385479,49.32796657149108
-58.0,-58.0,-57.0,-73.0,-62.0,20.676460296953625,49.28015436552585
-51.0,-50.0,-51.0,-90.0,-75.0,31.606074497437923,49.18738659052752
-31.0,-33.0,-34.0,-93.0,-71.0,42.523740409210546,49.0947202292844
-55.0,-54.0,-56.0,-93.0,-82.0,53.50979475098099,49.001473404921846
-57.0,-61.0,-64.0,-93.0,-93.0,64.46359373695729,48.90850035593498
-93.0,-93.0,-75.0,-43.0,-93.0,10.309619446759868,55.84681252999627
-93.0,-93.0,-75.0,-43.0,-93.0,10.699348215973519,55.86095184940479
-93.0,-74.0,-72.0,-42.0,-93.0,11.087866564002034,55.87504725401704
-93.0,-72.0,-72.0,-42.0,-74.0,11.49377566577806,55.88977359370748
-69.0,-69.0,-69.0,-42.0,-74.0,11.895809234519476,55.904359330116506
-67.0,-69.0,-69.0,-42.0,-74.0,12.293573690456169,55.91879018302557
-66.0,-70.0,-68.0,-58.0,-84.0,17.27193572815099,56.09940463794638
-69.0,-93.0,-70.0,-63.0,-75.0,22.235249517312095,56.279473144626174
-58.0,-58.0,-59.0,-71.0,-86.0,27.209303509217683,56.45993130416102
-54.0,-54.0,-54.0,-74.0,-86.0,32.18761094810638,56.64054377848655
-47.0,-49.0,-46.0,-81.0,-93.0,42.31063178331757,57.007805918500836
-67.0,-93.0,-68.0,-78.0,-93.0,52.50186776486082,57.37754289615872
-77.0,-73.0,-74.0,-80.0,-93.0,62.66991749943514,57.74643867924984
-93.0,-73.0,-74.0,-74.0,-93.0,67.41820618174019,58.924327108652584
-67.0,-93.0,-93.0,-82.0,-93.0,60.1146276765182,58.66421644746265
-63.0,-62.0,-62.0,-81.0,-93.0,57.24703122134252,58.56208946834728
-46.0,-48.0,-46.0,-74.0,-93.0,47.12752267452983,58.20169188252588
-59.0,-56.0,-54.0,-72.0,-84.0,36.991226066691794,57.84069640450479
-67.0,-67.0,-67.0,-70.0,-81.0,26.906962930467806,57.48155405416199
-74.0,-73.0,-71.0,-50.0,-79.0,16.819558722849294,57.12229983657071
-64.0,-65.0,-93.0,-93.0,-93.0,32.54288136138552,57.351587142829615
-93.0,-82.0,-85.0,-54.0,-93.0,15.56814938823479,57.723373452862994
-55.0,-55.0,-55.0,-57.0,-93.0,11.193804775283514,47.068469612273375
-93.0,-93.0,-93.0,-64.0,-61.0,10.658993105848715,46.969551312200224
-64.0,-63.0,-61.0,-93.0,-93.0,31.014854323603608,57.58824332184586
-42.5,-42.0,-67.5,-93.0,-93.0,37.892730143570304,47.322747919471766
-37.0,-38.0,-93.0,-93.0,-85.0,38.187884743201714,48.40983942358185
-57.5,-77.0,-59.5,-93.0,-93.0,60.741066611351215,48.23151639163364
-93.0,-93.0,-93.0,-93.0,-93.0,66.40756320961322,57.8391343903206
-93.0,-93.0,-93.0,-93.0,-76.0,38.25944595066489,47.180951876736366
-65.0,-65.0,-65.0,-93.0,-93.0,61.17407968066786,48.64715112584915
-79.0,-86.0,-93.0,-83.5,-93.0,65.68042619895436,57.97028375895581
-86.5,-86.5,-86.0,-79.0,-93.0,18.721224908799492,56.6516114746224
-57.0,-56.0,-56.0,-93.0,-66.0,11.108308395353058,47.0614396158879
-58.0,-59.0,-59.0,-93.0,-94.0,54.67370409155221,47.784828748805005
-93.0,-48.0,-93.0,-93.0,-62.0,21.084416645097477,46.96629148966355
-50.0,-53.0,-53.0,-66.0,-93.0,33.15235457254442,56.65058403607582
-56.0,-93.0,-93.0,-93.0,-93.0,71.56988052444352,47.34582477790102
-70.0,-69.0,-70.0,-60.0,-72.0,17.209895734321726,58.13428413513079
-93.0,-93.0,-93.0,-74.0,-93.0,48.70189900123553,57.22867772762553
-93.0,-93.0,-93.0,-93.0,-93.0,70.79933288483697,47.40294461736367
-50.0,-49.0,-49.0,-93.0,-80.0,54.936368015206725,47.568670269204084
-58.5,-57.0,-74.5,-93.0,-93.0,54.88964667059024,47.951184040110576
-63.0,-66.0,-93.0,-71.0,-93.0,65.86949494866266,57.69009858527807
-54.0,-54.0,-56.0,-72.0,-93.0,48.604290513181745,57.411257723244205
-68.0,-81.0,-81.0,-93.0,-93.0,71.35906829686314,46.930293882562566
-55.0,-56.0,-56.0,-93.0,-76.0,61.0528253650929,47.90767452552118
-56.0,-55.25,-65.25,-82.5,-65.0,20.659383543893018,47.16953744670731
-74.0,-93.0,-93.0,-93.0,-93.0,47.20669874830268,57.61241515838621
-64.0,-66.0,-66.0,-93.0,-71.5,20.870965025578574,47.087389906760535
